,Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Location,Device
0,A1000,dataanalyticscourse,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,hyderabad,desktop
1,A1001,dataanalyticscourse,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,hyderabad,mobile
2,A1002,dataanlyticscourse,90.0,4544.0,203.66,26.0,9.0,0.0,1624.0,hyderabad,desktop
3,A1003,dataanalytciscourse,142.0,3185.0,237.66,17.0,6.0,0.0,1225.0,hyderabad,tablet
4,A1004,dataanalyticscourse,156.0,3361.0,195.9,30.0,8.0,0.0,1091.0,hyderabad,desktop
5,A1005,dataanalyticscourse,195.0,3776.0,243.57,10.0,8.0,0.0,1315.0,hyderabad,mobile
6,A1006,dataanalyticscourse,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,hyderabad,tablet
7,A1007,dataanalyticscourse,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,hyderbad,tablet
8,A1008,dataanalyticscourse,113.0,5434.0,0.0,27.0,4.0,0.058,1362.0,hyderbad,tablet
9,A1009,dataanalytciscourse,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,hyderbad,mobile
10,A1010,dataanalyticscourse,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,hyderabad,desktop
11,A1011,dataanalyticscourse,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,hyderabad,desktop
12,A1012,dataanalytciscourse,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,hydrebad,desktop
13,A1013,dataanalyticscourse,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,hyderabad,mobile
14,A1014,dataanalytciscourse,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,hyderbad,desktop
15,A1015,dataanalytciscourse,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,hyderabad,desktop
16,A1016,dataanalytciscourse,193.0,5159.0,0.0,15.0,9.0,0.047,1614.0,hydrebad,mobile
17,A1017,dataanlyticscourse,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,hyderabad,mobile
18,A1018,dataanalyticscourse,150.0,3113.0,217.41,20.0,5.0,0.0,1785.0,hyderabad,mobile
19,A1019,dataanalytciscourse,145.0,5278.0,0.0,25.0,6.0,0.041,1516.0,hyderabad,desktop
20,A1020,dataanalytciscourse,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,hyderbad,tablet
21,A1021,dataanalyticscourse,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,hyderabad,tablet
22,A1022,dataanalytciscourse,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,hyderabad,desktop
23,A1023,dataanlyticscourse,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,hyderabad,tablet
24,A1024,dataanalyticscourse,87.0,3718.0,0.0,12.0,3.0,0.034,1652.0,hyderbad,tablet
25,A1025,dataanalyticscourse,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,hyderabad,tablet
26,A1026,dataanlyticscourse,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,hyderbad,desktop
27,A1027,dataanalyticscourse,0.0,5286.0,234.89,22.0,10.0,0.0,1688.0,hyderabad,desktop
28,A1028,dataanlyticscourse,128.0,5469.0,188.49,16.0,3.0,0.0,1783.0,hyderbad,mobile
29,A1029,dataanalytciscourse,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,hyderabad,mobile
30,A1030,dataanalyticscourse,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,hyderbad,tablet
31,A1031,dataanalyticscourse,113.0,5065.0,212.37,11.0,5.0,0.0,1111.0,hyderabad,desktop
32,A1032,dataanalytciscourse,0.0,3872.0,244.38,20.0,4.0,0.0,1041.0,hyderabad,tablet
33,A1033,dataanalyticscourse,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,hyderbad,tablet
34,A1034,dataanalytciscourse,121.0,5610.0,214.96,23.0,8.0,0.0,0.0,hyderabad,mobile
35,A1035,dataanalyticscourse,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,hyderabad,desktop
36,A1036,dataanlyticscourse,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,hyderabad,desktop
37,A1037,dataanalytciscourse,123.0,5131.0,0.0,19.0,5.0,0.041,1307.0,hydrebad,mobile
38,A1038,dataanalytciscourse,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,hyderabad,mobile
39,A1039,dataanalytciscourse,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,hydrebad,mobile
40,A1040,dataanalyticscourse,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,hyderbad,mobile
41,A1041,dataanalyticscourse,112.0,4271.0,196.07,27.0,6.0,0.0,1209.0,hyderabad,desktop
42,A1042,dataanalytciscourse,113.0,4418.0,191.55,27.0,10.0,0.0,1634.0,hyderbad,mobile
43,A1043,dataanlyticscourse,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,hydrebad,desktop
44,A1044,dataanalyticscourse,197.0,5783.0,204.46,23.0,6.0,0.0,1729.0,hydrebad,tablet
45,A1045,dataanalyticscourse,109.0,4866.0,236.78,27.0,5.0,0.0,1585.0,hyderabad,mobile
46,A1046,dataanlyticscourse,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,hyderabad,desktop
47,A1047,dataanalyticscourse,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,hyderbad,mobile
48,A1048,dataanalytciscourse,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,hydrebad,mobile
49,A1049,dataanalytciscourse,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,hyderbad,mobile
50,A1050,dataanalytciscourse,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,hydrebad,mobile
51,A1051,dataanalyticscourse,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,hyderabad,tablet
52,A1052,dataanalyticscourse,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,hyderabad,mobile
